PLT_CN,PLOT_FIADB,MEASYEAR,INVYR,TREE_CN,STREE_CN,LAT_FUZZED,LON_FUZZED,SPCD,series,species,DBH_cm,d2pith_mm,notes_lab
6.83089E+14,44688,2022,2020,1.2797E+15,NA,61.47908,-159.343,94,44688AA,PIGL,24.64,NA,NA
6.83089E+14,44688,2022,2020,1.2797E+15,NA,61.47908,-159.343,94,44688AB,PIGL,25.15,NA,NA
6.83089E+14,44688,2022,2020,1.2797E+15,NA,61.47908,-159.343,94,44688AC,PIGL,28.96,NA,NA
6.83089E+14,44688,2022,2020,1.2797E+15,NA,61.47908,-159.343,94,44688AD,PIGL,21.84,NA,NA
6.83089E+14,44264,2022,2020,1.2797E+15,NA,61.64314,-159.2543,94,44264AA,PIGL,26.67,NA,NA
6.83089E+14,44264,2022,2020,1.2797E+15,NA,61.64314,-159.2543,94,44264AB,PIGL,16.26,NA,NA
6.83089E+14,44264,2022,2020,1.2797E+15,NA,61.64314,-159.2543,94,44264AC,PIGL,20.83,NA,NA
6.83089E+14,721,2022,2020,1.2797E+15,NA,61.34177,-158.2158,95,00721AA,PIMA,17.02,NA,NA
6.83089E+14,5767,2022,2020,1.2797E+15,1.2797E+15,61.81308,-157.9348,94,05767AA,PIGL,20.32,NA,NA
6.83089E+14,5767,2022,2020,1.2797E+15,1.2797E+15,61.81308,-157.9348,94,05767AB,PIGL,17.02,NA,NA
6.83089E+14,5767,2022,2020,1.2797E+15,1.2797E+15,61.81308,-157.9348,94,05767AC,PIGL,18.54,NA,NA
6.83089E+14,4046,2022,2020,1.2797E+15,NA,61.6848,-158.9284,94,04046AA,PIGL,29.21,NA,NA
6.83089E+14,4046,2022,2020,1.2797E+15,1.2797E+15,61.6848,-158.9284,94,04046AB,PIGL,18.29,NA,NA
6.83089E+14,4046,2022,2020,1.2797E+15,NA,61.6848,-158.9284,94,04046AC,PIGL,17.02,NA,NA
6.83089E+14,19696,2022,2020,1.2797E+15,NA,61.39117,-158.5777,94,19696AA,PIGL,18.8,NA,NA
6.83089E+14,19696,2022,2020,1.2797E+15,NA,61.39117,-158.5777,94,19696AB,PIGL,31.24,NA,NA
6.83089E+14,19696,2022,2020,1.2797E+15,NA,61.39117,-158.5777,94,19696AC,PIGL,17.53,NA,NA
6.83089E+14,8459,2022,2020,1.2797E+15,NA,61.66306,-158.7347,94,08459AA,PIGL,23.37,NA,plot mislabeled - changed from 30056 to 30086 (Cahoon)
6.83089E+14,8459,2022,2020,1.2797E+15,NA,61.66306,-158.7347,94,08459AB,PIGL,14.22,NA,plot mislabeled - changed from 30056 to 30086 (Cahoon)
6.83089E+14,8459,2022,2020,1.2797E+15,NA,61.66306,-158.7347,94,08459AC,PIGL,14.99,NA,plot mislabeled - changed from 30056 to 30086 (Cahoon)
6.83089E+14,841,2022,2020,1.2797E+15,NA,60.74147,-158.2408,94,00841AA,PIGL,38.35,NA,NA
6.83089E+14,11161,2022,2020,1.2797E+15,NA,61.55862,-159.9201,94,11161AA,PIGL,34.54,NA,NA
6.83089E+14,11161,2022,2020,1.2797E+15,NA,61.55862,-159.9201,94,11161AB,PIGL,45.72,NA,NA
6.83089E+14,2224,2022,2020,1.2797E+15,NA,61.55356,-156.7471,95,02224AA,PIMA,16.51,NA,NA
6.83089E+14,30077,2022,2020,1.2797E+15,NA,61.25988,-159.5666,94,30077AA,PIGL,16.76,NA,NA
6.83089E+14,30077,2022,2020,1.2797E+15,NA,61.25988,-159.5666,94,30077AB,PIGL,27.43,NA,NA
6.83089E+14,17375,2022,2020,1.27969E+15,NA,61.82574,-155.6394,94,17375AA,PIGL,37.34,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
6.83089E+14,17375,2022,2020,1.27969E+15,NA,61.82574,-155.6394,71,17375AB,LALA,17.02,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
6.83089E+14,17375,2022,2020,1.27969E+15,NA,61.82574,-155.6394,94,17375AC,PIGL,25.15,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
6.83089E+14,17375,2022,2020,1.27969E+15,NA,61.82574,-155.6394,94,17375AD,PIGL,14.48,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
6.83089E+14,17375,2022,2020,1.27969E+15,NA,61.82574,-155.6394,94,17375AE,PIGL,21.08,NA,SITE;  plot mislabeled - changed from 13543 to 13453 (Cahoon)
6.83089E+14,48992,2022,2020,1.27969E+15,NA,61.61547,-159.0582,94,48992AA,PIGL,27.94,NA,NA
6.83089E+14,38707,2022,2020,1.27969E+15,NA,61.52499,-156.5457,95,38707AA,PIMA,14.22,NA,NA
6.83089E+14,13026,2022,2020,1.27969E+15,NA,61.71548,-159.8344,94,13026AA,PIGL,17.02,NA,NA
6.83089E+14,27801,2022,2020,1.27969E+15,1.27969E+15,61.8478,-157.5921,94,27801AA,PIGL,22.35,NA,NA
6.83089E+14,27801,2022,2020,1.27969E+15,1.27969E+15,61.8478,-157.5921,94,27801AB,PIGL,20.07,NA,NA
6.83089E+14,27801,2022,2020,1.27969E+15,NA,61.8478,-157.5921,94,27801AC,PIGL,25.4,NA,NA
6.83089E+14,23539,2022,2020,1.27969E+15,NA,61.40355,-156.8409,95,23539AA,PIMA,14.22,NA,INC ONLY
6.83089E+14,17570,2022,2020,1.27969E+15,NA,61.16959,-159.5167,94,17570AA,PIGL,45.47,NA,NA
6.83089E+14,17570,2022,2020,1.27969E+15,NA,61.16959,-159.5167,94,17570AB,PIGL,48.77,NA,NA
6.83089E+14,17570,2022,2020,1.27969E+15,NA,61.16959,-159.5167,94,17570AC,PIGL,40.13,NA,NA
6.83089E+14,17570,2022,2020,1.27969E+15,NA,61.16959,-159.5167,94,17570AD,PIGL,37.59,NA,NA
6.83089E+14,3150,2022,2020,1.27969E+15,NA,61.71016,-158.3954,94,03150AA,PIGL,46.48,NA,NA
6.83089E+14,3150,2022,2020,1.27969E+15,NA,61.71016,-158.3954,94,03150AB,PIGL,17.78,NA,NA
6.83089E+14,10246,2022,2020,1.27969E+15,NA,61.10214,-159.6435,94,10246AA,PIGL,32.77,NA,EXTRA FOR SEAN
6.83089E+14,10246,2022,2020,1.27969E+15,NA,61.10214,-159.6435,94,10246AB,PIGL,13.21,NA,EXTRA FOR SEAN
